timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1538115772476,209,HTTP Request,200,OK,Thread Group 1-1,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,209,0,153
1538115772577,220,HTTP Request,200,OK,Thread Group 1-2,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,220,0,152
1538115772679,271,HTTP Request,200,OK,Thread Group 1-3,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,270,0,157
1538115772779,232,HTTP Request,200,OK,Thread Group 1-4,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,232,0,157
1538115772880,239,HTTP Request,200,OK,Thread Group 1-5,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,239,0,161
1538115772977,229,HTTP Request,200,OK,Thread Group 1-6,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,229,0,160
1538115773079,236,HTTP Request,200,OK,Thread Group 1-7,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,236,0,167
1538115773180,212,HTTP Request,200,OK,Thread Group 1-8,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,212,0,151
1538115773279,205,HTTP Request,200,OK,Thread Group 1-9,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,205,0,144
1538115773380,222,HTTP Request,200,OK,Thread Group 1-10,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,221,0,160
1538115773479,218,HTTP Request,200,OK,Thread Group 1-11,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,218,0,158
1538115773582,212,HTTP Request,200,OK,Thread Group 1-12,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,212,0,154
1538115773679,207,HTTP Request,200,OK,Thread Group 1-13,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,207,0,150
1538115773782,215,HTTP Request,200,OK,Thread Group 1-14,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,215,0,157
1538115773880,202,HTTP Request,200,OK,Thread Group 1-15,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,202,0,148
1538115773981,211,HTTP Request,200,OK,Thread Group 1-16,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,211,0,151
1538115774080,211,HTTP Request,200,OK,Thread Group 1-17,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,210,0,150
1538115774184,200,HTTP Request,200,OK,Thread Group 1-18,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,200,0,139
1538115774283,209,HTTP Request,200,OK,Thread Group 1-19,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,209,0,150
1538115774384,202,HTTP Request,200,OK,Thread Group 1-20,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,201,0,147
1538115774483,203,HTTP Request,200,OK,Thread Group 1-21,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,203,0,149
1538115774583,201,HTTP Request,200,OK,Thread Group 1-22,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,201,0,147
1538115774684,212,HTTP Request,200,OK,Thread Group 1-23,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,212,0,154
1538115774780,203,HTTP Request,200,OK,Thread Group 1-24,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,203,0,150
1538115774883,203,HTTP Request,200,OK,Thread Group 1-25,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,203,0,147
1538115774980,211,HTTP Request,200,OK,Thread Group 1-26,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,210,0,151
1538115775085,219,HTTP Request,200,OK,Thread Group 1-27,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,219,0,160
1538115775185,209,HTTP Request,200,OK,Thread Group 1-28,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,209,0,154
1538115775281,190,HTTP Request,200,OK,Thread Group 1-29,text,true,,1013,133,2,2,https://sampleapp-eecs6432.mybluemix.net/,190,0,136
1538115775381,198,HTTP Request,200,OK,Thread Group 1-30,text,true,,1014,133,2,2,https://sampleapp-eecs6432.mybluemix.net/,198,0,144
1538115775481,208,HTTP Request,200,OK,Thread Group 1-31,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,208,0,151
1538115775582,206,HTTP Request,200,OK,Thread Group 1-32,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,206,0,148
1538115775685,206,HTTP Request,200,OK,Thread Group 1-33,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,206,0,147
1538115775782,220,HTTP Request,200,OK,Thread Group 1-34,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,220,0,161
1538115775885,204,HTTP Request,200,OK,Thread Group 1-35,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,204,0,152
1538115775982,221,HTTP Request,200,OK,Thread Group 1-36,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,221,0,160
1538115776086,222,HTTP Request,200,OK,Thread Group 1-37,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,222,0,162
1538115776187,209,HTTP Request,200,OK,Thread Group 1-38,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,209,0,154
1538115776286,204,HTTP Request,200,OK,Thread Group 1-39,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,204,0,150
1538115776387,217,HTTP Request,200,OK,Thread Group 1-40,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,217,0,156
1538115776488,206,HTTP Request,200,OK,Thread Group 1-41,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,206,0,149
1538115776586,231,HTTP Request,200,OK,Thread Group 1-42,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,231,0,164
1538115776686,231,HTTP Request,200,OK,Thread Group 1-43,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,231,0,166
1538115776787,205,HTTP Request,200,OK,Thread Group 1-44,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,205,0,142
1538115776887,203,HTTP Request,200,OK,Thread Group 1-45,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,203,0,148
1538115776987,216,HTTP Request,200,OK,Thread Group 1-46,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,216,0,153
1538115777086,192,HTTP Request,200,OK,Thread Group 1-47,text,true,,1014,133,2,2,https://sampleapp-eecs6432.mybluemix.net/,191,0,140
1538115777188,186,HTTP Request,200,OK,Thread Group 1-48,text,true,,1014,133,2,2,https://sampleapp-eecs6432.mybluemix.net/,185,0,136
1538115777286,209,HTTP Request,200,OK,Thread Group 1-49,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,209,0,150
1538115777390,203,HTTP Request,200,OK,Thread Group 1-50,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,203,0,149
1538115777487,214,HTTP Request,200,OK,Thread Group 1-51,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,214,0,153
1538115777587,228,HTTP Request,200,OK,Thread Group 1-52,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,228,0,160
1538115777686,206,HTTP Request,200,OK,Thread Group 1-53,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,206,0,150
1538115777789,203,HTTP Request,200,OK,Thread Group 1-54,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,202,0,148
1538115777888,205,HTTP Request,200,OK,Thread Group 1-55,text,true,,1013,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,205,0,148
1538115777988,195,HTTP Request,200,OK,Thread Group 1-56,text,true,,1013,133,2,2,https://sampleapp-eecs6432.mybluemix.net/,194,0,142
1538115778087,211,HTTP Request,200,OK,Thread Group 1-57,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,211,0,154
1538115778190,223,HTTP Request,200,OK,Thread Group 1-58,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,223,0,160
1538115778288,197,HTTP Request,200,OK,Thread Group 1-59,text,true,,1014,133,2,2,https://sampleapp-eecs6432.mybluemix.net/,196,0,147
1538115778390,203,HTTP Request,200,OK,Thread Group 1-60,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,203,0,148
1538115778487,226,HTTP Request,200,OK,Thread Group 1-61,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,226,0,161
1538115778591,206,HTTP Request,200,OK,Thread Group 1-62,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,206,0,148
1538115778689,209,HTTP Request,200,OK,Thread Group 1-63,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,209,0,156
1538115778789,209,HTTP Request,200,OK,Thread Group 1-64,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,209,0,150
1538115778888,208,HTTP Request,200,OK,Thread Group 1-65,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,208,0,150
1538115778987,213,HTTP Request,200,OK,Thread Group 1-66,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,213,0,149
1538115779091,202,HTTP Request,200,OK,Thread Group 1-67,text,true,,1014,133,3,3,https://sampleapp-eecs6432.mybluemix.net/,202,0,147
