timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1539805715964,51,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-1,text,false,,2746,0,2,2,https://192.168.99.100:4000/,0,0,51
1539805716000,16,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-2,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,16
1539805716034,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-3,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716067,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-4,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716102,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-5,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716133,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-6,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716168,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-7,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716203,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-8,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716235,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-9,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716270,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-10,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716302,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-11,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716335,4,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-12,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,4
1539805716368,4,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-13,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,4
1539805716404,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-14,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716434,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-15,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716468,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-16,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716503,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-17,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716537,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-18,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716572,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-19,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716604,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-20,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716635,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-21,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716672,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-22,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716705,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-23,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
1539805716737,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-24,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716772,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-25,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716805,3,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-26,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,3
1539805716839,4,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-27,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,4
1539805716872,2,HTTP Request,Non HTTP response code: javax.net.ssl.SSLException,Non HTTP response message: Unsupported or unrecognized SSL message,Thread Group 1-28,text,false,,2746,0,1,1,https://192.168.99.100:4000/,0,0,2
